"Annee_imposition","Region_administrative","Nombre_de_particuliers"
2014,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",15
2014,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",33
2014,"03 - Capitale-Nationale",160
2014,"04 - Mauricie",26
2014,"05 - Estrie",88
2014,"06 - Montréal",1562
2014,"07 - Outaouais",31
2014,"08 - Abitibi-Témiscamingue",26
2014,"12 - Chaudière-Appalaches",50
2014,"13 - Laval",125
2014,"14 - Lanaudière",60
2014,"15 - Laurentides",146
2014,"16 - Montérégie",412
2014,"17 - Centre-du-Québec",30
2014,"Hors Québec ou Indéterminé",580
2015,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",22
2015,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",23
2015,"03 - Capitale-Nationale",197
2015,"04 - Mauricie",33
2015,"05 - Estrie",124
2015,"06 - Montréal",1820
2015,"07 - Outaouais",43
2015,"08 - Abitibi-Témiscamingue",16
2015,"12 - Chaudière-Appalaches",64
2015,"13 - Laval",145
2015,"14 - Lanaudière",69
2015,"15 - Laurentides",176
2015,"16 - Montérégie",472
2015,"17 - Centre-du-Québec",37
2015,"Hors Québec ou Indéterminé",592
2016,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",19
2016,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",27
2016,"03 - Capitale-Nationale",134
2016,"04 - Mauricie",20
2016,"05 - Estrie",95
2016,"06 - Montréal",1535
2016,"07 - Outaouais",30
2016,"08 - Abitibi-Témiscamingue",21
2016,"12 - Chaudière-Appalaches",47
2016,"13 - Laval",117
2016,"14 - Lanaudière",59
2016,"15 - Laurentides",153
2016,"16 - Montérégie",417
2016,"17 - Centre-du-Québec",40
2016,"Hors Québec ou Indéterminé",462
2017,"01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",28
2017,"02+09+10 - Saguenay - Lac-Saint-Jean + Côte-Nord + Nord-du-Québec",27
2017,"03 - Capitale-Nationale",175
2017,"04 - Mauricie",33
2017,"05 - Estrie",130
2017,"06 - Montréal",1896
2017,"07 - Outaouais",51
